class,n,R,s,totalValue,totalWeight,processingTime
10MultipleStronglyCorrelated,n00050,R01000,s000.kp,21338,14238,0.002991914749145508
10MultipleStronglyCorrelated,n00050,R01000,s001.kp,19390,11790,0.1326453685760498
10MultipleStronglyCorrelated,n00050,R01000,s002.kp,21166,13566,0.0019948482513427734
10MultipleStronglyCorrelated,n00050,R01000,s003.kp,20212,13212,0.0029921531677246094
10MultipleStronglyCorrelated,n00050,R01000,s004.kp,20450,12250,0.0
10MultipleStronglyCorrelated,n00050,R01000,s005.kp,20813,12713,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s006.kp,20526,13326,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s007.kp,18261,10461,0.0
10MultipleStronglyCorrelated,n00050,R01000,s008.kp,19819,11819,0.0
10MultipleStronglyCorrelated,n00050,R01000,s009.kp,18936,10836,0.0
10MultipleStronglyCorrelated,n00050,R01000,s010.kp,19892,12492,0.0
10MultipleStronglyCorrelated,n00050,R01000,s011.kp,20237,12637,0.0
10MultipleStronglyCorrelated,n00050,R01000,s012.kp,18828,11628,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s013.kp,19946,12546,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s014.kp,19220,11820,0.003988981246948242
10MultipleStronglyCorrelated,n00050,R01000,s015.kp,21286,13086,0.006981372833251953
10MultipleStronglyCorrelated,n00050,R01000,s016.kp,19523,11923,0.0
10MultipleStronglyCorrelated,n00050,R01000,s017.kp,21469,14069,0.00797891616821289
10MultipleStronglyCorrelated,n00050,R01000,s018.kp,19819,12119,0.000997781753540039
10MultipleStronglyCorrelated,n00050,R01000,s019.kp,19308,11508,0.000997781753540039
10MultipleStronglyCorrelated,n00050,R01000,s020.kp,19376,11676,0.0
10MultipleStronglyCorrelated,n00050,R01000,s021.kp,19666,12066,0.0
10MultipleStronglyCorrelated,n00050,R01000,s022.kp,21204,14004,0.029427766799926758
10MultipleStronglyCorrelated,n00050,R01000,s023.kp,18837,11237,0.006981372833251953
10MultipleStronglyCorrelated,n00050,R01000,s024.kp,21176,13776,0.0019948482513427734
10MultipleStronglyCorrelated,n00050,R01000,s025.kp,18782,11382,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s026.kp,20566,12966,0.0059833526611328125
10MultipleStronglyCorrelated,n00050,R01000,s027.kp,20872,13272,0.003989696502685547
10MultipleStronglyCorrelated,n00050,R01000,s028.kp,18670,10570,0.0
10MultipleStronglyCorrelated,n00050,R01000,s029.kp,19360,12060,0.0
10MultipleStronglyCorrelated,n00050,R01000,s030.kp,20928,13128,0.0
10MultipleStronglyCorrelated,n00050,R01000,s031.kp,19010,11510,0.001994609832763672
10MultipleStronglyCorrelated,n00050,R01000,s032.kp,19422,11322,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s033.kp,19608,12108,0.0
10MultipleStronglyCorrelated,n00050,R01000,s034.kp,20487,13287,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s035.kp,20466,12966,0.0
10MultipleStronglyCorrelated,n00050,R01000,s036.kp,21444,13944,0.003988981246948242
10MultipleStronglyCorrelated,n00050,R01000,s037.kp,20102,12702,0.011968374252319336
10MultipleStronglyCorrelated,n00050,R01000,s038.kp,18938,11238,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s039.kp,19520,12020,0.0029921531677246094
10MultipleStronglyCorrelated,n00050,R01000,s040.kp,20016,12216,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s041.kp,20336,12336,0.009973526000976562
10MultipleStronglyCorrelated,n00050,R01000,s042.kp,18866,11166,0.03142356872558594
10MultipleStronglyCorrelated,n00050,R01000,s043.kp,20228,12828,0.0019943714141845703
10MultipleStronglyCorrelated,n00050,R01000,s044.kp,19250,11250,0.003988981246948242
10MultipleStronglyCorrelated,n00050,R01000,s045.kp,20083,11983,0.0
10MultipleStronglyCorrelated,n00050,R01000,s046.kp,19376,11376,0.0
10MultipleStronglyCorrelated,n00050,R01000,s047.kp,20050,12450,0.002991914749145508
10MultipleStronglyCorrelated,n00050,R01000,s048.kp,18169,10469,0.0029916763305664062
10MultipleStronglyCorrelated,n00050,R01000,s049.kp,18994,11694,0.006981372833251953
10MultipleStronglyCorrelated,n00050,R01000,s050.kp,21650,14250,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s051.kp,21458,14358,0.0019948482513427734
10MultipleStronglyCorrelated,n00050,R01000,s052.kp,19256,11356,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s053.kp,19276,11976,0.0
10MultipleStronglyCorrelated,n00050,R01000,s054.kp,20105,12605,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s055.kp,19684,12084,0.003988981246948242
10MultipleStronglyCorrelated,n00050,R01000,s056.kp,18900,11200,0.0
10MultipleStronglyCorrelated,n00050,R01000,s057.kp,20188,12888,0.006981372833251953
10MultipleStronglyCorrelated,n00050,R01000,s058.kp,20123,12023,0.0
10MultipleStronglyCorrelated,n00050,R01000,s059.kp,20914,13614,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s060.kp,19094,11394,0.004986763000488281
10MultipleStronglyCorrelated,n00050,R01000,s061.kp,18878,11178,0.0
10MultipleStronglyCorrelated,n00050,R01000,s062.kp,20136,12336,0.0
10MultipleStronglyCorrelated,n00050,R01000,s063.kp,20675,12775,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s064.kp,19148,11448,0.0
10MultipleStronglyCorrelated,n00050,R01000,s065.kp,20668,12768,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s066.kp,19894,12494,0.0
10MultipleStronglyCorrelated,n00050,R01000,s067.kp,19264,11664,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s068.kp,20674,13074,0.0
10MultipleStronglyCorrelated,n00050,R01000,s069.kp,18984,11484,0.0
10MultipleStronglyCorrelated,n00050,R01000,s070.kp,20586,13386,0.0
10MultipleStronglyCorrelated,n00050,R01000,s071.kp,18543,10443,0.0
10MultipleStronglyCorrelated,n00050,R01000,s072.kp,19902,12102,0.008976221084594727
10MultipleStronglyCorrelated,n00050,R01000,s073.kp,19130,11830,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s074.kp,20784,13284,0.0019948482513427734
10MultipleStronglyCorrelated,n00050,R01000,s075.kp,19594,11694,0.0
10MultipleStronglyCorrelated,n00050,R01000,s076.kp,20845,13245,0.0
10MultipleStronglyCorrelated,n00050,R01000,s077.kp,20104,12204,0.0
10MultipleStronglyCorrelated,n00050,R01000,s078.kp,19964,12064,0.0
10MultipleStronglyCorrelated,n00050,R01000,s079.kp,19163,10863,0.0
10MultipleStronglyCorrelated,n00050,R01000,s080.kp,19634,11634,0.0019943714141845703
10MultipleStronglyCorrelated,n00050,R01000,s081.kp,20046,12346,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s082.kp,19364,11964,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R01000,s083.kp,19134,12234,0.3181629180908203
10MultipleStronglyCorrelated,n00050,R01000,s084.kp,19500,11700,0.011967182159423828
10MultipleStronglyCorrelated,n00050,R01000,s085.kp,20006,12606,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s086.kp,20264,12564,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s087.kp,20294,12694,0.0
10MultipleStronglyCorrelated,n00050,R01000,s088.kp,19822,12022,0.0
10MultipleStronglyCorrelated,n00050,R01000,s089.kp,20806,13206,0.0019948482513427734
10MultipleStronglyCorrelated,n00050,R01000,s090.kp,20136,12336,0.001994609832763672
10MultipleStronglyCorrelated,n00050,R01000,s091.kp,20946,13446,0.0029921531677246094
10MultipleStronglyCorrelated,n00050,R01000,s092.kp,21630,13830,0.0009970664978027344
10MultipleStronglyCorrelated,n00050,R01000,s093.kp,20350,12450,0.0
10MultipleStronglyCorrelated,n00050,R01000,s094.kp,19485,11885,0.0
10MultipleStronglyCorrelated,n00050,R01000,s095.kp,19242,11442,0.001994609832763672
10MultipleStronglyCorrelated,n00050,R01000,s096.kp,20340,12840,0.023935794830322266
10MultipleStronglyCorrelated,n00050,R01000,s097.kp,19820,11520,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R01000,s098.kp,20330,12630,0.003989219665527344
10MultipleStronglyCorrelated,n00050,R01000,s099.kp,20681,12781,0.0
10MultipleStronglyCorrelated,n00050,R10000,s000.kp,217265,142265,0.0
10MultipleStronglyCorrelated,n00050,R10000,s001.kp,196807,117807,0.0009975433349609375
10MultipleStronglyCorrelated,n00050,R10000,s002.kp,213558,135558,0.0
10MultipleStronglyCorrelated,n00050,R10000,s003.kp,207785,131785,0.0
10MultipleStronglyCorrelated,n00050,R10000,s004.kp,203435,122435,0.0
10MultipleStronglyCorrelated,n00050,R10000,s005.kp,205090,127090,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R10000,s006.kp,206082,133082,0.0
10MultipleStronglyCorrelated,n00050,R10000,s007.kp,181670,104670,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R10000,s008.kp,198983,117983,0.0
10MultipleStronglyCorrelated,n00050,R10000,s009.kp,186240,108240,0.0019943714141845703
10MultipleStronglyCorrelated,n00050,R10000,s010.kp,197887,124887,0.000997304916381836
10MultipleStronglyCorrelated,n00050,R10000,s011.kp,203447,126447,0.0019953250885009766
